District Code,DistrictName,School Code,SchoolName,grade span (Oct16),Highest Grade (Oct16),School Category in 2016-17,Students - 10/1/2016,Students In Poverty,Poverty - 10/1/2016,Eligibility as Challenging School for School Year 2017-18
31015,Edmonds,3691,College Place Elementary,K-6,6,Elementary,489,355,72.60%,Challenging School
31015,Edmonds,3754,College Place Middle School,7-8,8,Middle,521,252,48.37%,Not eligible - Poverty below threshold
31015,Edmonds,1830,Contracted Schools,"PK, 4-12",12,High,140,48,34.29%,Not eligible - Poverty below threshold
31015,Edmonds,3185,Early Childhood Center,PK-PK,PK,Elementary,148,61,41.22%,Not eligible - Poverty below threshold
31015,Edmonds,5358,Edmonds Career Access Program,10-12,12,High,255,85,33.33%,Not eligible - Poverty below threshold
31015,Edmonds,1519,Edmonds eLearning Academy,9-12,12,High,82,35,42.68%,Not eligible - Poverty below threshold
31015,Edmonds,3606,Edmonds Elementary,K-6,6,Elementary,364,69,18.96%,Not eligible - Poverty below threshold
31015,Edmonds,1966,Edmonds Heights K-12,K-12,12,High,596,104,17.45%,Not eligible - Poverty below threshold
31015,Edmonds,3123,Edmonds Woodway High School,9-12,12,High,"1,643",526,32.01%,Not eligible - Poverty below threshold
31015,Edmonds,3607,Hazelwood Elementary,K-6,6,Elementary,506,172,33.99%,Not eligible - Poverty below threshold
31015,Edmonds,3689,Hilltop Elementary,K-6,6,Elementary,517,86,16.63%,Not eligible - Poverty below threshold
31015,Edmonds,3122,Lynndale Elementary,K-6,6,Elementary,413,191,46.25%,Not eligible - Poverty below threshold
31015,Edmonds,3503,Lynnwood Elementary,K-6,6,Elementary,602,309,51.33%,Not eligible - Poverty below threshold
31015,Edmonds,3755,Lynnwood High School,9-12,12,High,"1,406",621,44.17%,Not eligible - Poverty below threshold
31015,Edmonds,3463,Madrona Nongraded,PK-8,8,Middle,635,85,13.39%,Not eligible - Poverty below threshold
31015,Edmonds,3818,Maplewood Center,K-12,12,High,36,17,47.22%,Not eligible - Poverty below threshold
31015,Edmonds,1685,Maplewood Parent Coop,K-8,8,Middle,450,29,6.44%,Not eligible - Poverty below threshold
31015,Edmonds,2887,Martha Lake Elementary,K-6,6,Elementary,500,230,46.00%,Not eligible - Poverty below threshold
31015,Edmonds,3504,Meadowdale Elementary,K-6,6,Elementary,507,245,48.32%,Not eligible - Poverty below threshold
31015,Edmonds,3464,Meadowdale High School,9-12,12,High,"1,626",584,35.92%,Not eligible - Poverty below threshold
31015,Edmonds,3353,Meadowdale Middle School,7-8,8,Middle,767,322,41.98%,Not eligible - Poverty below threshold
31015,Edmonds,3254,Mountlake Terrace Elementary,K-6,6,Elementary,424,220,51.89%,Not eligible - Poverty below threshold
31015,Edmonds,3303,Mountlake Terrace High School,9-12,12,High,"1,317",388,29.46%,Not eligible - Poverty below threshold
31015,Edmonds,3608,Oak Heights Elementary,K-6,6,Elementary,615,245,39.84%,Not eligible - Poverty below threshold
31015,Edmonds,3854,Scriber Lake High School,9-12,12,High,266,142,53.38%,Challenging School
31015,Edmonds,3461,Seaview Elementary,K-6,6,Elementary,388,99,25.52%,Not eligible - Poverty below threshold
31015,Edmonds,3605,Sherwood Elementary,K-6,6,Elementary,484,124,25.62%,Not eligible - Poverty below threshold
31015,Edmonds,3410,Spruce Elementary,K-6,6,Elementary,565,301,53.27%,Not eligible - Poverty below threshold
31015,Edmonds,2888,Terrace Park Elementary,K-6,6,Elementary,335,134,40.00%,Not eligible - Poverty below threshold
31015,Edmonds,1558,Unassigned School,PK-12,12,High,82,9,10.98%,Not eligible - Poverty below threshold
31015,Edmonds,3186,Westgate Elementary,K-6,6,Elementary,492,186,37.80%,Not eligible - Poverty below threshold
19401,Ellensburg,1924,Ellensburg Developmental Preschool,PK-PK,PK,Elementary,70,0,0.00%,Not eligible - Poverty below threshold
19401,Ellensburg,2996,Ellensburg High School,9-12,12,High,974,305,31.31%,Not eligible - Poverty below threshold
19401,Ellensburg,5097,K-12 Ellensburg Learning Center,K-12,12,High,21,4,19.05%,Not eligible - Poverty below threshold
19401,Ellensburg,2741,Lincoln Elementary,K-5,5,Elementary,518,209,40.35%,Not eligible - Poverty below threshold
19401,Ellensburg,2453,Morgan Middle School,6-8,8,Middle,741,286,38.60%,Not eligible - Poverty below threshold
19401,Ellensburg,3596,Mt. Stuart Elementary,K-5,5,Elementary,505,307,60.79%,Not eligible - Poverty below threshold
19401,Ellensburg,4411,Valley View Elementary School,K-5,5,Elementary,515,184,35.73%,Not eligible - Poverty below threshold
14068,Elma,1629,East Grays Harbor High School,9-12,12,High,34,21,61.76%,Challenging School
14068,Elma,5416,East Grays Harbor Open Doors,9-12,12,High,9,8,88.89%,Not eligible - Less than 30 students
14068,Elma,3217,Elma Elementary School,PK-5,5,Elementary,615,445,72.36%,Challenging School
14068,Elma,2137,Elma High School,9-12,12,High,466,279,59.87%,Challenging School
14068,Elma,4245,Elma Middle School,6-8,8,Middle,312,201,64.42%,Challenging School
38308,Endicott,2207,Endicott/St John Elem and Middle,PK-8,8,Middle,100,61,61.00%,Challenging School
4127,Entiat,3317,Entiat Middle and High School,6-12,12,High,185,113,61.08%,Challenging School
4127,Entiat,2688,Paul Rumburg Elementary,PK-5,5,Elementary,154,101,65.58%,Not eligible - Poverty below threshold
17216,Enumclaw,3430,Black Diamond Elementary,K-5,5,Elementary,282,93,32.98%,Not eligible - Poverty below threshold
17216,Enumclaw,2980,Byron Kibler Elementary School,K-5,5,Elementary,438,177,40.41%,Not eligible - Poverty below threshold
17216,Enumclaw,4210,Enumclaw Middle School,6-8,8,Middle,454,161,35.46%,Not eligible - Poverty below threshold
17216,Enumclaw,3330,Enumclaw Sr High School,9-12,12,High,"1,338",371,27.73%,Not eligible - Poverty below threshold
17216,Enumclaw,3739,Southwood Elementary School,PK-5,5,Elementary,305,97,31.80%,Not eligible - Poverty below threshold
17216,Enumclaw,1523,Special Ed School,PK-12,12,High,24,15,62.50%,Not eligible - Less than 30 students
17216,Enumclaw,4289,Sunrise Elementary,K-5,5,Elementary,419,139,33.17%,Not eligible - Poverty below threshold
17216,Enumclaw,4550,Thunder Mountain Middle School,6-8,8,Middle,461,136,29.50%,Not eligible - Poverty below threshold
17216,Enumclaw,3585,Westwood Elementary School,K-5,5,Elementary,334,90,26.95%,Not eligible - Poverty below threshold
13165,Ephrata,4229,Beezley Springs Elementary,PK-8,8,Middle,30,21,70.00%,Challenging School
13165,Ephrata,2793,Columbia Ridge Elementary,K-4,4,Elementary,482,329,68.26%,Not eligible - Poverty below threshold
13165,Ephrata,2920,Ephrata High School,9-12,12,High,718,335,46.66%,Not eligible - Poverty below threshold
13165,Ephrata,3373,Ephrata Middle School,7-8,8,Middle,363,182,50.14%,Not eligible - Poverty below threshold
13165,Ephrata,3340,Grant Co Detention Ctr,6-12,12,High,11,3,27.27%,Challenging School2
13165,Ephrata,3092,Grant Elementary,PK-4,4,Elementary,472,261,55.30%,Not eligible - Poverty below threshold
13165,Ephrata,2695,Parkway School,5-6,6,Elementary,374,212,56.68%,Not eligible - Poverty below threshold
13165,Ephrata,1971,Sage Hills High School,8-12,12,High,51,41,80.39%,Challenging School
32801,ESD 101,3352,Martin Hall Detention Ctr,8-12,12,High,14,12,85.71%,Challenging School2
32801,ESD 101,5434,NEWESD 101 Open Doors,11-12,12,High,69,6,8.70%,Not eligible - Poverty below threshold
32801,ESD 101,3526,Spokane Juvenile Detention School,6-12,12,High,33,22,66.67%,Challenging School2
32801,ESD 101,3507,Structural Alt Confinement School,9-12,12,High,26,17,65.38%,Challenging School2
6801,ESD 112,5290,Clark County Juvenile Detention School,7-12,12,High,25,0,0.00%,Challenging School2
6801,ESD 112,3294,Cowlitz County Youth Services Center,6-12,12,High,29,0,0.00%,Challenging School2
6801,ESD 112,5398,ESD 112 Open Doors Reengagement,9-12,12,High,106,0,0.00%,Not eligible - Poverty below threshold
34801,ESD 113,5305,GRAVITY High School,11-12,12,High,380,0,0.00%,Not eligible - Poverty below threshold
18801,ESD 114,3143,Clallam Co Juvenile Detention,8-12,12,High,4,4,100.00%,Challenging School2
18801,ESD 114,3481,Kitsap Co Detention Ctr,7-12,12,High,25,25,100.00%,Challenging School2
29801,ESD 189,3363,Skagit County Detention Center,9-12,12,High,2,0,0.00%,Challenging School2
29801,ESD 189,2601,Snohomish Detention Center,6-12,12,High,3,0,0.00%,Not eligible - Poverty below threshold
29801,ESD 189,3420,Whatcom Co Detention Ctr,7-12,12,High,4,0,0.00%,Challenging School2
21036,Evaline,2355,Evaline Elementary School,K-6,6,Elementary,52,28,53.85%,Not eligible - Poverty below threshold
31002,Everett,3407,Cascade High School,9-12,12,High,"1,804",813,45.07%,Not eligible - Poverty below threshold
31002,Everett,4382,Cedar Wood Elementary,PK-5,5,Elementary,719,70,9.74%,Not eligible - Poverty below threshold
31002,Everett,3752,Eisenhower Middle School,6-8,8,Middle,863,380,44.03%,Not eligible - Poverty below threshold
31002,Everett,3184,Emerson Elementary School,PK-5,5,Elementary,651,445,68.36%,Not eligible - Poverty below threshold
31002,Everett,2126,Everett High School,9-12,12,High,"1,497",757,50.57%,Challenging School
31002,Everett,5330,Everett Reengagement Academy,11-12,12,High,42,24,57.14%,Challenging School
31002,Everett,3253,Evergreen Middle School,6-8,8,Middle,"1,008",594,58.93%,Not eligible - Poverty below threshold
31002,Everett,5091,Forest View Elementary School,K-5,5,Elementary,722,55,7.62%,Not eligible - Poverty below threshold
31002,Everett,2065,Garfield Elementary School,PK-5,5,Elementary,434,319,73.50%,Challenging School
31002,Everett,4437,Gateway Middle School,6-8,8,Middle,896,106,11.83%,Not eligible - Poverty below threshold
31002,Everett,2883,Hawthorne Elementary School - Everett,PK-5,5,Elementary,473,417,88.16%,Challenging School
31002,Everett,4334,Heatherwood Middle School,6-8,8,Middle,965,270,27.98%,Not eligible - Poverty below threshold
31002,Everett,4438,Henry M. Jackson High School,9-12,12,High,"2,197",423,19.25%,Not eligible - Poverty below threshold
31002,Everett,2751,Jackson Elementary School,K-5,5,Elementary,353,235,66.57%,Not eligible - Poverty below threshold
31002,Everett,3533,Jefferson Elementary,PK-5,5,Elementary,579,229,39.55%,Not eligible - Poverty below threshold
31002,Everett,2811,Lowell Elementary - Everett,PK-5,5,Elementary,502,333,66.33%,Not eligible - Poverty below threshold
31002,Everett,2669,Madison Elementary,PK-5,5,Elementary,432,326,75.46%,Challenging School
31002,Everett,4316,Mill Creek Elementary,PK-5,5,Elementary,676,80,11.83%,Not eligible - Poverty below threshold
31002,Everett,3686,Monroe Elementary,PK-5,5,Elementary,580,248,42.76%,Not eligible - Poverty below threshold
31002,Everett,2364,North Middle School,6-8,8,Middle,721,460,63.80%,Challenging School
31002,Everett,1663,NW Learning Center,9-12,12,High,2,1,50.00%,Not eligible - Less than 30 students
31002,Everett,4530,Penny Creek Elementary,K-5,5,Elementary,752,180,23.94%,Not eligible - Poverty below threshold
31002,Everett,1907,Port Gardner,K-12,12,High,121,21,17.36%,Not eligible - Poverty below threshold
31002,Everett,4137,Sequoia High School,9-12,12,High,193,118,61.14%,Challenging School
31002,Everett,4298,Silver Firs Elementary,PK-5,5,Elementary,499,92,18.44%,Not eligible - Poverty below threshold
31002,Everett,2545,Silver Lake Elementary - Everett,K-5,5,Elementary,644,295,45.81%,Not eligible - Poverty below threshold
31002,Everett,3903,Special Services,PK-12,12,High,170,55,32.35%,Not eligible - Poverty below threshold
31002,Everett,3002,View Ridge Elementary,PK-5,5,Elementary,575,230,40.00%,Not eligible - Poverty below threshold
31002,Everett,2752,Whittier Elementary,PK-5,5,Elementary,496,208,41.94%,Not eligible - Poverty below threshold
31002,Everett,4125,Woodside Elementary,PK-5,5,Elementary,685,223,32.55%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),1646,49th Street Academy,K-12,12,High,107,74,69.16%,Challenging School
6114,Evergreen (Clark),4299,Burnt Bridge Creek Elementary Sch,K-5,5,Elementary,470,233,49.57%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3736,Burton Elementary School,K-5,5,Elementary,430,283,65.81%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3785,Cascade Middle School,6-8,8,Middle,913,577,63.20%,Challenging School
6114,Evergreen (Clark),4203,Cascadia Technical Academy Skills Center,9-12,12,High,5,1,20.00%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4587,Columbia Valley Elementary,K-5,5,Elementary,579,244,42.14%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3320,Covington Middle School,6-8,8,Middle,"1,065",710,66.67%,Challenging School
6114,Evergreen (Clark),3822,Crestline Elementary School,K-5,5,Elementary,544,382,70.22%,Challenging School
6114,Evergreen (Clark),1530,Early Childhood Center,PK-PK,PK,Elementary,133,75,56.39%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3148,Ellsworth Elementary School,K-5,5,Elementary,443,272,61.40%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),5136,Endeavour Elementary School,K-5,5,Elementary,735,443,60.27%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),2724,Evergreen High School,9-12,12,High,"1,742",919,52.76%,Challenging School
6114,Evergreen (Clark),3971,Fircrest Elementary School,PK-5,5,Elementary,497,327,65.79%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4499,Fishers Landing Elementary School,K-5,5,Elementary,664,108,16.27%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4498,Frontier Middle School,6-8,8,Middle,804,367,45.65%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4380,Harmony Elementary School,K-5,5,Elementary,661,174,26.32%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4163,Hearthwood Elementary School,K-5,5,Elementary,399,216,54.14%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),5310,HeLa High School,9-12,12,High,592,242,40.88%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4523,Heritage High School,9-12,12,High,"1,879","1,019",54.23%,Challenging School
6114,Evergreen (Clark),1926,Home Choice Academy,K-8,8,Middle,149,44,29.53%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4560,Illahee Elementary School,K-5,5,Elementary,601,161,26.79%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3994,Image Elementary School,K-5,5,Elementary,706,415,58.78%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),1801,iQ Academy Washington,6-12,12,High,86,34,39.53%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4042,Legacy High School,9-12,12,High,203,104,51.23%,Challenging School
6114,Evergreen (Clark),3618,Marrion Elementary School,K-5,5,Elementary,546,381,69.78%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),2829,Mill Plain Elementary School,K-5,5,Elementary,459,291,63.40%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4162,Mountain View High School,9-12,12,High,"1,940",779,40.15%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),5435,Open Doors Evergreen,9-12,12,High,5,3,60.00%,Not eligible - Less than 30 students
6114,Evergreen (Clark),2912,Orchards Elementary School,K-5,5,Elementary,545,394,72.29%,Challenging School
6114,Evergreen (Clark),4209,Pacific Middle School,6-8,8,Middle,985,392,39.80%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4445,Pioneer Elementary School,K-5,5,Elementary,715,375,52.45%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3995,Riverview Elementary School,K-5,5,Elementary,479,217,45.30%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4561,Shahala Middle School,6-8,8,Middle,"1,125",305,27.11%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3149,Sifton Elementary School,K-5,5,Elementary,481,295,61.33%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3823,Silver Star Elementary School,K-5,5,Elementary,477,288,60.38%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),3970,Sunset Elementary School,K-5,5,Elementary,560,328,58.57%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),5111,Union High School,9-12,12,High,"2,022",535,26.46%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4051,Wyeast Middle School,6-8,8,Middle,867,504,58.13%,Not eligible - Poverty below threshold
6114,Evergreen (Clark),4579,York Elementary School,K-5,5,Elementary,538,222,41.26%,Not eligible - Poverty below threshold
33205,Evergreen (Ste),3197,Evergreen School,K-6,6,Elementary,28,20,71.43%,Challenging School1
17906,Excel,5377,Excel Public Charter School,6-8,8,Middle,186,78,41.94%,Not eligible - Poverty below threshold
17210,Federal Way,3519,Adelaide Elementary School,K-5,5,Elementary,398,271,68.09%,Not eligible - Poverty below threshold
17210,Federal Way,5279,Birth to Three Development Center,PK-PK,PK,Elementary,106,49,46.23%,Not eligible - Poverty below threshold
17210,Federal Way,3700,Brigadoon Elementary School,PK-5,5,Elementary,369,201,54.47%,Not eligible - Poverty below threshold
17210,Federal Way,3547,Camelot Elementary School,PK-5,5,Elementary,327,193,59.02%,Not eligible - Poverty below threshold
17210,Federal Way,5163,Career Academy at Truman High School,9-12,12,High,108,70,64.81%,Challenging School
17210,Federal Way,3766,Decatur High School,9-12,12,High,"1,399",676,48.32%,Not eligible - Poverty below threshold
17210,Federal Way,5280,Dynamic Family Services,PK-PK,PK,Elementary,2,2,100.00%,Not eligible - Less than 30 students
17210,Federal Way,1950,Employment Transition Program,12-12,12,High,44,28,63.64%,Challenging School
17210,Federal Way,4470,Enterprise Elementary School,PK-5,5,Elementary,437,245,56.06%,Not eligible - Poverty below threshold
17210,Federal Way,2417,Federal Way High School,9-12,12,High,"1,566",999,63.79%,Challenging School
17210,Federal Way,1789,Federal Way Public Academy,6-10,10,High,312,91,29.17%,Not eligible - Poverty below threshold
17210,Federal Way,5218,Federal Way Public School ECEAP,PK-PK,PK,Elementary,7,5,71.43%,Not eligible - Less than 30 students
17210,Federal Way,5219,Federal Way Public Schools Headstart,PK-PK,PK,Elementary,4,4,100.00%,Not eligible - Less than 30 students
17210,Federal Way,5107,Federal Way Running Start Home School,11-12,12,High,2,0,0.00%,Not eligible - Poverty below threshold
17210,Federal Way,5255,Gateway to College,11-12,12,High,30,14,46.67%,Not eligible - Poverty below threshold
17210,Federal Way,4426,Green Gables Elementary School,K-5,5,Elementary,430,160,37.21%,Not eligible - Poverty below threshold
17210,Federal Way,3898,Illahee Middle School,5-8,8,Middle,768,397,51.69%,Not eligible - Poverty below threshold
17210,Federal Way,1759,Internet Academy,K-12,12,High,207,36,17.39%,Not eligible - Poverty below threshold
17210,Federal Way,3701,Kilo Middle School,6-8,8,Middle,566,367,64.84%,Challenging School
17210,Federal Way,3738,Lake Dolloff Elementary School,K-5,5,Elementary,468,316,67.52%,Not eligible - Poverty below threshold
17210,Federal Way,3568,Lake Grove Elementary School,K-5,5,Elementary,422,357,84.60%,Challenging School
17210,Federal Way,2841,Lakeland Elementary School,PK-5,5,Elementary,409,212,51.83%,Not eligible - Poverty below threshold
17210,Federal Way,3381,Lakota Middle School,6-8,8,Middle,761,412,54.14%,Not eligible - Poverty below threshold
17210,Federal Way,3627,Mark Twain Elementary School,K-5,5,Elementary,586,492,83.96%,Challenging School
17210,Federal Way,4480,Meredith Hill Elementary School,PK-5,5,Elementary,492,225,45.73%,Not eligible - Poverty below threshold
17210,Federal Way,3159,Mirror Lake Elementary School,K-5,5,Elementary,360,316,87.78%,Challenging School
17210,Federal Way,3625,Nautilus K-8 School,K-8,8,Middle,554,320,57.76%,Not eligible - Poverty below threshold
17210,Federal Way,3432,Olympic View Elementary School,K-5,5,Elementary,411,349,84.91%,Challenging School
17210,Federal Way,5348,Open Doors Youth Reengagement (1418),9-12,12,High,179,102,56.98%,Challenging School
17210,Federal Way,3329,Panther Lake Elementary School,K-5,5,Elementary,474,361,76.16%,Challenging School
17210,Federal Way,4422,Rainier View Elementary School,PK-5,5,Elementary,524,378,72.14%,Challenging School
17210,Federal Way,3626,Sacajawea Middle School,6-8,8,Middle,718,450,62.67%,Challenging School
17210,Federal Way,4456,Saghalie Middle School,6-8,8,Middle,474,335,70.68%,Challenging School
17210,Federal Way,5029,Sequoyah Middle School,6-8,8,Middle,584,398,68.15%,Challenging School
17210,Federal Way,4374,Sherwood Forest Elementary School,K-5,5,Elementary,451,228,50.55%,Not eligible - Poverty below threshold
17210,Federal Way,4343,Silver Lake Elementary School - Federal Way,K-5,5,Elementary,465,317,68.17%,Not eligible - Poverty below threshold
17210,Federal Way,3160,Star Lake Elementary School,K-5,5,Elementary,426,249,58.45%,Not eligible - Poverty below threshold
17210,Federal Way,3567,Sunnycrest Elementary School,K-5,5,Elementary,605,552,91.24%,Challenging School
17210,Federal Way,1951,Support School,PK-12,12,High,90,33,36.67%,Not eligible - Poverty below threshold
17210,Federal Way,5138,Technology Access Foundation Academy,6-12,12,High,310,153,49.35%,Not eligible - Poverty below threshold
17210,Federal Way,3584,Thomas Jefferson High School,9-12,12,High,"1,766",983,55.66%,Challenging School
17210,Federal Way,4570,Todd Beamer High School,9-12,12,High,"1,689",888,52.58%,Challenging School
17210,Federal Way,3431,Totem Middle School,6-8,8,Middle,676,492,72.78%,Challenging School
17210,Federal Way,3628,Twin Lakes Elementary School,PK-5,5,Elementary,372,240,64.52%,Not eligible - Poverty below threshold
17210,Federal Way,3582,Valhalla Elementary School,K-5,5,Elementary,597,417,69.85%,Not eligible - Poverty below threshold
17210,Federal Way,3583,Wildwood Elementary School,PK-5,5,Elementary,591,528,89.34%,Challenging School
17210,Federal Way,3328,Woodmont K-8 School,K-8,8,Middle,489,275,56.24%,Not eligible - Poverty below threshold
37502,Ferndale,2263,Beach Elem,K-5,5,Elementary,31,8,25.81%,Not eligible - Poverty below threshold
37502,Ferndale,5207,Cascadia Elementary,PK-5,5,Elementary,479,216,45.09%,Not eligible - Poverty below threshold
37502,Ferndale,2458,Central Elementary,PK-5,5,Elementary,328,173,52.74%,Not eligible - Poverty below threshold
37502,Ferndale,2607,Custer Elem,K-5,5,Elementary,334,179,53.59%,Not eligible - Poverty below threshold
37502,Ferndale,4482,Eagleridge Elementary,K-5,5,Elementary,507,287,56.61%,Not eligible - Poverty below threshold
37502,Ferndale,2488,Ferndale High School,9-12,12,High,"1,481",565,38.15%,Not eligible - Poverty below threshold
37502,Ferndale,5084,Ferndale Special Services,PK-PK,PK,Elementary,44,0,0.00%,Not eligible - Poverty below threshold
37502,Ferndale,4554,Horizon Middle School,6-8,8,Middle,452,224,49.56%,Not eligible - Poverty below threshold
37502,Ferndale,4130,Skyline Elementary School,PK-5,5,Elementary,420,180,42.86%,Not eligible - Poverty below threshold
37502,Ferndale,3762,Vista Middle School,6-8,8,Middle,619,290,46.85%,Not eligible - Poverty below threshold
37502,Ferndale,5245,WINDWARD HIGH SCHOOL,9-12,12,High,124,42,33.87%,Not eligible - Poverty below threshold
27417,Fife,4582,Columbia Junior High School,8-9,9,Middle,592,250,42.23%,Not eligible - Poverty below threshold
27417,Fife,2878,Discovery Primary School,PK-1,1,Elementary,604,276,45.70%,Not eligible - Poverty below threshold
27417,Fife,2809,Endeavour Intermediate,2-5,5,Elementary,583,318,54.55%,Not eligible - Poverty below threshold
27417,Fife,2773,Fife High School,10-12,12,High,824,289,35.07%,Not eligible - Poverty below threshold
27417,Fife,4557,Hedden Elementary School,2-5,5,Elementary,563,211,37.48%,Not eligible - Poverty below threshold
27417,Fife,3798,Surprise Lake Middle School,6-7,7,Middle,551,244,44.28%,Not eligible - Poverty below threshold
3053,Finley,3078,Finley Elementary,PK-5,5,Elementary,390,298,76.41%,Challenging School
3053,Finley,4031,Finley Middle School,6-8,8,Middle,211,156,73.93%,Challenging School
3053,Finley,2367,River View High School,9-12,12,High,329,225,68.39%,Challenging School
27402,Franklin Pierce,3180,Brookdale Elementary,K-5,5,Elementary,464,383,82.54%,Challenging School
27402,Franklin Pierce,2398,Central Avenue Elementary,K-5,5,Elementary,496,348,70.16%,Challenging School
27402,Franklin Pierce,3301,Christensen Elementary,PK-5,5,Elementary,462,411,88.96%,Challenging School
27402,Franklin Pierce,2257,Collins Elementary,PK-5,5,Elementary,396,225,56.82%,Not eligible - Poverty below threshold
27402,Franklin Pierce,5436,Early Learning Center,PK-PK,PK,Elementary,78,76,97.44%,Challenging School
27402,Franklin Pierce,3532,Elmhurst Elementary School,K-5,5,Elementary,461,374,81.13%,Challenging School
27402,Franklin Pierce,2876,Franklin Pierce High School,9-12,12,High,"1,197",721,60.23%,Challenging School
27402,Franklin Pierce,4063,Gates Secondary School,9-12,12,High,122,102,83.61%,Challenging School
27402,Franklin Pierce,3000,Harvard Elementary,K-5,5,Elementary,400,359,89.75%,Challenging School
27402,Franklin Pierce,2945,James Sales Elementary,K-5,5,Elementary,482,421,87.34%,Challenging School
27402,Franklin Pierce,2340,Midland Elementary,K-5,5,Elementary,576,490,85.07%,Challenging School
27402,Franklin Pierce,3300,Morris Ford Middle School,6-8,8,Middle,928,744,80.17%,Challenging School
27402,Franklin Pierce,3401,Perry G Keithley Middle School,6-8,8,Middle,760,654,86.05%,Challenging School
27402,Franklin Pierce,3648,Washington High School,9-12,12,High,"1,021",760,74.44%,Challenging School
32358,Freeman,3794,Freeman Elementary School,PK-5,5,Elementary,351,88,25.07%,Not eligible - Poverty below threshold
32358,Freeman,3192,Freeman High School,9-12,12,High,335,58,17.31%,Not eligible - Poverty below threshold
32358,Freeman,4593,Freeman Middle School,6-8,8,Middle,213,46,21.60%,Not eligible - Poverty below threshold
38302,Garfield,1962,Garfield at Palouse High School,9-12,12,High,33,10,30.30%,Not eligible - Poverty below threshold
38302,Garfield,2895,Garfield Elementary,K-5,5,Elementary,57,28,49.12%,Not eligible - Poverty below threshold
38302,Garfield,2896,Garfield Middle School,6-8,8,Middle,26,13,50.00%,Not eligible - Poverty below threshold
20401,Glenwood,3047,Glenwood Elementary,K-5,5,Elementary,39,22,56.41%,Not eligible - Poverty below threshold
20401,Glenwood,3048,Glenwood Secondary,6-12,12,High,37,11,29.73%,Not eligible - Poverty below threshold
20404,Goldendale,2856,Goldendale High School,9-12,12,High,311,156,50.16%,Challenging School
20404,Goldendale,3393,Goldendale Middle School,5-8,8,Middle,293,173,59.04%,Not eligible - Poverty below threshold
20404,Goldendale,2677,Goldendale Primary School,K-4,4,Elementary,325,214,65.85%,Not eligible - Poverty below threshold
20404,Goldendale,5012,Goldendale Support Service Center,PK-PK,PK,Elementary,15,5,33.33%,Not eligible - Poverty below threshold
13301,Grand Coulee Dam,5336,Lake Roosevelt Alternative School,K-12,12,High,7,5,71.43%,Not eligible - Less than 30 students
13301,Grand Coulee Dam,2802,Lake Roosevelt Elementary ,PK-6,6,Elementary,393,277,70.48%,Challenging School
13301,Grand Coulee Dam,2801,Lake Roosevelt Jr/Sr High School,7-12,12,High,328,229,69.82%,Challenging School
39200,Grandview,1645,Compass High School,10-12,12,High,40,38,95.00%,Challenging School
39200,Grandview,1776,Contract Learning Center,9-12,12,High,33,27,81.82%,Challenging School
39200,Grandview,2555,Grandview High School,9-12,12,High,933,732,78.46%,Challenging School
39200,Grandview,3071,Grandview Middle School,6-8,8,Middle,805,694,86.21%,Challenging School
39200,Grandview,2345,Mcclure Elementary School,PK-5,5,Elementary,696,622,89.37%,Challenging School
39200,Grandview,3013,Smith Elementary School,K-5,5,Elementary,626,568,90.73%,Challenging School
39200,Grandview,5399,Step Up to College Open Doors High School,9-12,12,High,17,12,70.59%,Not eligible - Less than 30 students
39200,Grandview,2756,Thompson Elementary School,PK-5,5,Elementary,588,510,86.73%,Challenging School
39204,Granger,3314,Granger High School,9-12,12,High,440,359,81.59%,Challenging School
39204,Granger,2531,Granger Middle School,5-8,8,Middle,476,406,85.29%,Challenging School
39204,Granger,4535,Roosevelt Elementary,PK-4,4,Elementary,597,525,87.94%,Challenging School
